candidate_id	channel_score	label_hint	ayah_count	root_count	branch_count	edge_count	mean_affinity	density	reciprocal_edge_ratio	strong_rank_ratio	ayahs	roots	top_facets	example_edge
C001	0.8242	liability / surety / guarantee / responsibility	44	9	9	15	0.07130602	0.4167	1.0	0.8	9,18,28,29,34,37,40,42,43,45,48,50,51,52,54,55,56,60,61,64,67,68,69,72,75,76,78,79,80,82,86,90,93,97,98,100,101,102,104,105,106,107,109,110	ب ل غ ح س ب ز ع م ص ب ر ق ب ل ك ف ر ك ف ف ك و ن ن ق ب	kw:liability(65.4624); kw:surety(63.4603); kw:guarantee(61.531); kw:responsibility(41.9894); kw:contract(36.9363); theme:law_governance/obligation_contract(28.005); kw:sufficiency(27.1003); kw:livelihood(25.5168)	ز ع م:B003:تحمل الكفالة → ق ب ل:B008:ضمان الشيء والتكفل به
C002	0.812	residence / space_form_boundary/place_location / stay / settlement	65	16	17	41	0.06887838	0.3037	0.9268	0.6829	2,3,7,9,10,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,31,34,35,36,38,40,42,43,45,46,47,48,49,50,51,54,55,56,57,58,64,65,76,77,79,80,81,82,84,86,87,90,93,94,95,98,101,105,106,107,108,109,110	ء ب د ء ر ض ء ر ك ء ي ي خ ل د ر ب ب ر ق د ع ر ش ق و م ك و ن ل ب ث ل د ن م د ن م ك ث م ك ن ن ع م	kw:residence(151.3219); theme:space_form_boundary/place_location(142.3869); kw:stay(104.9611); kw:settlement(92.7771); kw:habitation(86.4017); kw:place(51.5428); kw:pause(47.0731); kw:abode(45.7343)	ك و ن:B002:المكان والمكانة من الكون → م ك ن:B004:مكانة المرء وحاله
C003	0.8079	rotation / timber / craft / stick	61	11	11	14	0.06888149	0.2545	1.0	0.8571	4,5,10,11,14,16,19,20,21,22,23,24,26,28,29,32,33,34,35,37,39,42,45,48,49,50,52,55,60,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,82,83,86,87,88,91,93,94,95,96,98,103,109,110	ء و ل ج و ز ح و ر ح و ط خ ل ل ر و د ض ر ب ع و د ق ط ر ق و ل ن ش ر	kw:rotation(56.8924); kw:timber(48.7992); kw:craft(44.4711); kw:stick(43.4363); kw:tool(42.4); kw:wood(37.9386); kw:incense(31.7301); kw:instrument(29.3388)	ر و د:B006:أدوات الإدارة والدوران → ح و ر:B007:الدوران على محور
C004	0.8049	liability / surety / guarantee / responsibility	47	10	12	20	0.06963726	0.3175	1.0	0.8	9,18,26,28,29,34,36,37,38,40,42,43,45,48,50,51,52,54,55,56,60,61,64,67,68,69,72,75,76,78,79,80,82,86,87,90,93,98,100,101,102,104,105,106,107,109,110	ب ل غ ح س ب ر د د ز ع م ش ر ك ص ب ر ص ح ب ق ب ل ك ف ر ك و ن	kw:liability(65.4624); kw:surety(63.4603); kw:guarantee(61.531); kw:responsibility(41.9894); kw:contract(36.9363); kw:unbelief(36.9273); kw:religion(32.5067); theme:law_governance/obligation_contract(28.005)	ز ع م:B003:تحمل الكفالة → ق ب ل:B008:ضمان الشيء والتكفل به
C005	0.799	liability / surety / guarantee / responsibility	43	9	10	17	0.06872515	0.3864	1.0	0.7059	9,18,28,29,33,34,37,40,43,45,48,50,51,52,54,55,56,60,61,64,67,68,69,72,75,76,78,79,80,82,86,90,93,98,100,101,102,104,105,106,107,109,110	ء ك ل ب ل غ ح س ب ز ع م ص ب ر ص ن ع ق ب ل ك ف ر ك و ن	kw:liability(65.4624); kw:surety(63.4603); kw:guarantee(61.531); kw:responsibility(41.9894); kw:contract(36.9363); theme:law_governance/obligation_contract(28.005); kw:accusation(27.7169); kw:sufficiency(27.1003)	ز ع م:B003:تحمل الكفالة → ق ب ل:B008:ضمان الشيء والتكفل به
C006	0.7983	law_governance/authority_governance / governance / office / administration	37	10	11	21	0.06912832	0.3889	1.0	0.7619	2,7,10,14,15,16,17,18,21,26,28,30,36,44,48,49,50,55,69,71,73,77,78,79,82,84,86,88,90,93,95,102,103,104,105,107,110	ء م ر ء و ل س ع ي س ل ط ع ز ل ع م ل ق و م م ك ن م ل ك و ل ي	theme:law_governance/authority_governance(128.8888); kw:governance(90.0792); kw:office(62.7642); kw:administration(57.5595); kw:power(43.7032); kw:authority(41.9427); kw:politics(39.4154); kw:leadership(38.7554)	ع م ل:B003:ولاية العمل والقيام عليه → س ع ي:B003:ولاية وسعاية على القوم
C007	0.7947	rotation / craft / stick / tool	61	11	11	13	0.06854664	0.2364	1.0	0.8462	4,5,10,11,14,19,20,21,22,23,24,26,28,29,32,33,34,35,37,39,42,45,49,50,52,53,54,60,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,82,83,86,87,88,91,93,94,95,96,98,101,103,109,110	ح و ر ح و ط خ ل ل ر و د س م ع ص ر ف ض ر ب ع و د ق ط ر ق و ل و ق ع	kw:rotation(71.1156); kw:craft(53.3653); kw:stick(43.4363); kw:tool(42.4); kw:incense(31.7301); theme:craft_material_built/tools_equipment(31.0397); kw:rod(30.4895); kw:mechanics(28.9576)	ر و د:B006:أدوات الإدارة والدوران → ح و ر:B007:الدوران على محور
C008	0.7944	uncertainty / belief / conjecture / epistemology	56	7	10	16	0.06023803	0.3902	1.0	0.8125	4,5,9,10,14,18,19,20,21,22,23,24,26,29,34,35,36,37,39,40,42,48,49,50,52,53,60,62,63,64,66,67,69,70,71,72,73,74,75,76,77,78,83,86,87,88,93,94,95,96,98,102,103,104,109,110	ح س ب ر ج م ز ع م ظ ن ن غ ي ب ق و ل و ق ع	kw:uncertainty(117.0322); kw:belief(84.868); kw:conjecture(63.4603); kw:epistemology(55.4339); kw:suspicion(45.3471); kw:doubt(44.316); kw:opinion(42.434); kw:supposition(35.7766)	ح س ب:B002:الحسبان والظن → ظ ن ن:B001:يقين بعد أمارة
C009	0.7939	space_form_boundary/place_location / residence / habitation / settlement	61	16	17	43	0.06575162	0.3185	0.907	0.5814	1,2,3,9,10,12,13,14,15,16,18,19,20,21,22,24,25,26,27,28,29,31,34,35,36,38,40,42,43,45,46,47,48,49,50,51,53,54,55,57,58,64,77,79,80,81,82,84,86,87,90,93,95,98,101,102,105,107,108,109,110	ء ب د ء ر ك خ ل د ر ب ب ر ب ع ر ق د ظ ن ن ع ر ش غ د ر ق و م ك و ن ل ب ث م د ن م ك ن ن ز ل ن ع م	theme:space_form_boundary/place_location(168.616); kw:residence(138.7118); kw:habitation(111.0879); kw:settlement(92.7771); kw:place(82.4685); kw:stay(74.9722); kw:abode(60.9791); kw:station(55.7051)	ك و ن:B002:المكان والمكانة من الكون → م ك ن:B004:مكانة المرء وحاله
C010	0.7931	spirit / ritual_belief/belief_revelation / haunting / tribe	53	10	11	17	0.06590668	0.3148	0.9412	0.7059	10,13,14,16,17,19,21,22,24,27,28,29,31,32,33,35,36,37,38,39,40,42,46,47,48,49,50,53,54,55,56,57,58,63,66,70,73,80,81,82,85,87,89,92,95,98,100,102,105,106,107,109,110	ء ن س ت ب ع ج ن ن ح ض ر ر ء ي ر ب ب ر س ل ع س ر ق ب ل ك ف ر	kw:spirit(59.5205); theme:ritual_belief/belief_revelation(46.5028); kw:haunting(38.5491); kw:tribe(35.6904); kw:supernatural(33.5381); kw:jinn(33.5381); kw:society(31.1678); kw:healing(27.1003)	ج ن ن:B005:الجن المستترون → ع س ر:B012:أعلام الجن والمواضع
